ECO - 70/150,Idmón el Adivino,Aliado,Cortesano,Héroe
CO - 63/128,Idmón el Adivino,Aliado,Cortesano,Héroe
92,Idmón el Adivino,Aliado,Cortesano,Héroe
RA - 201/260,Ikjalmar,Aliado,Vasallo,Héroe
CID-103-215,Infantes de Lara,Aliado,Cortesano,Héroe
VK - 162/220,Inuk,Aliado,Vasallo,Héroe
SPK-13-71,Invisible,Aliado,Cortesano,Héroe
GJ - 87/236,Iqi Balam,Aliado,Cortesano,Héroe
ACR-052-225,Isabela de Francia,Aliado,Real,Héroe
CAM-125-236,Isolda de Irlanda,Aliado,Cortesano,Héroe
CR - 112/140,Israel Hands,Aliado,Vasallo,Héroe
CS - 134/260,Issun Boshi,Aliado,Cortesano,Héroe
DO-066-236,Iván el Terrible,Aliado,Real,Héroe
LGO-125-230,Iván Tsarevich,Aliado,Cortesano,Héroe
VK - 170/220,Ivar sin Hueso,Aliado,Vasallo,Héroe
ESC-141-300,Ixbalanqué,Aliado,Real,Héroe
SOL-046-232,Ixbalanqué,Aliado,Real,Héroe
OL-171-240,Jacinto,Aliado,Vasallo,Héroe
CR-120,Jaja de Opobo,Aliado,Héroe,Reprint
LGO-126-230,Jak Zizka,Aliado,Cortesano,Héroe
CR - 28/140,Jane de Belleville,Aliado,Real,Héroe
TAS-105-200,Janequeo,Aliado,Cortesano,Héroe
18,Jason,Aliado,Real,Héroe
OL-025-240,Jasón,Aliado,Mega Real,Héroe
PI - 112/240,Jean Florin,Aliado,Cortesano,Héroe
PI - 114/240,Jean Lafitte,Aliado,Cortesano,Héroe
PI - 186/240,John Davis,Aliado,Vasallo,Héroe
DO-067-236,John Dee,Aliado,Real,Héroe
AYD-024-200,John Milton,Aliado,Mega Real,Héroe
CR - 69/140,John Morris,Aliado,Cortesano,Héroe
DGO-052-200,John Proctor,Aliado,Real,Héroe
PI - 40/240,John Rackham,Aliado,Real,Héroe
TR - 13/190 R,Joseph Joffre,Aliado,Real,Divinidad
AYD-059-200,Josué,Aliado,Real,Héroe
EXP-090-146,Juan Sebastián Elcano,Aliado,Cortesano,Héroe
ACR-110-225,Juan Sin Miedo,Aliado,Cortesano,Héroe
CS - 56/260,Jubei,Aliado,Real,Héroe
TI2-02-60,Julieta,Aliado,Real,Héroe
CMC-011,Julio César,Aliado,Héroe,Nitrox
APB-06-12,Julio César,Aliado,Héroe,Real
CRPB-63-72,Julio César,Aliado,Reprint Imperio,
AI-039-227,Julio César,Aliado,Real,Héroe
IM - 46/238,Julio César,Aliado,Real,Héroe
CO - 22/128,Julio César,Aliado,Real,Héroe
237,Julio César,Aliado,Real,Héroe
BA - 10/260,Justiniano I,Aliado,Real,Héroe
DN - 30/140,Kamaralzaman,Aliado,Real,Héroe
VE - 68/180,Karana,Aliado,Cortesano,Héroe
LGO-124-230,Katalin,Aliado,Cortesano,Héroe
CS - 135/260,Kato Kiyosama,Aliado,Cortesano,Héroe
VE - 65/180,Kaweshkar,Aliado,Cortesano,Héroe
KEM-064-231,Kefrén,Aliado,Real,Héroe
KEM-129-231,Keops,Aliado,Cortesano,Héroe
PI - 180/240,Klaus Stortebeker,Aliado,Vasallo,Héroe
LGO-187-230,Klepht,Aliado,Vasallo,Héroe
VE - 123/180,Kolla,Aliado,Vasallo,Héroe
CS - 211/260,Konoe,Aliado,Vasallo,Héroe
IV - 114/240,Kriatos,Aliado,Cortesano,Héroe
TAS-003-200,Kuanip,Aliado,Ultra Real,Héroe
TAS-194-200,Kuanip,Aliado,Legendaria,Héroe
HE - 141/175,Kunoichi,Aliado,Vasallo,Héroe
CS - 136/260,Kusunoki Masashige,Aliado,Cortesano,Héroe
VE - 66/180,La Añañuca,Aliado,Cortesano,Héroe
ACR-109-225,La Hire,Aliado,Cortesano,Héroe
TI2-32-60,Lady Marian,Aliado,Real,Héroe
KEL-151-200,Láeg,Aliado,Vasallo,Héroe
GJ - 89/236 II,Lancandon,Aliado,Cortesano,Héroe
GJ - 89/236,Lancandon,Aliado,Cortesano,Héroe
VK - 163/220,Lathgertha,Aliado,Vasallo,Héroe
PI - 185/240,Laurens de Graff,Aliado,Vasallo,Héroe
VE - 8/180,Lautaro,Aliado,Real,Héroe
TR - 50/190 R,Lawrence de Arabia,Aliado,Real,Civilización
OL-170-240,Layo,Aliado,Vasallo,Héroe
256,Legionario,Aliado,Vasallo,Héroe
VK - 166/220,Leif Eirikson,Aliado,Vasallo,Héroe
RA - 116/260,Leif Eriksson,Aliado,Cortesano,Héroe
DGO-053-200,León Rojo,Aliado,Real,Héroe
CID-045-215,Leonardo,Aliado,Real,Héroe
ESC-001-300,Leonardo,Aliado,Legendaria,Héroe
LAI-03-09,Leonardo,Aliado,Legendaria,Héroe
DO-010-236,Leonardo,Aliado,Ultra Real,Héroe
DGO-054-200,Leonardo Eterno,Aliado,Real,Héroe
CRPB-70-72,Leónidas,Aliado,Nueva - Genzo,
IV - 1/240 UR,Leónidas,Aliado,Ultra Real,"Héroe
Defensor"
TR - 25/190 R,Lewis McGee,Aliado,Real,Naturaleza
HO - 115/150,Libertador Ming,Aliado,Vasallo,Héroe
TAS-150-200,Licarayén,Aliado,Vasallo,Héroe
TAS-106-200,Lientur el Duende,Aliado,Cortesano,Héroe
TAS-021-200,Lituche,Aliado,Mega Real,Héroe
DGO-008-200,Lord Byron,Aliado,Ultra Real,Caballero / Héroe
PI - 244/240,Lord John Silver,Aliado,Promocional,Héroe
DO-177-236,Lucrecia,Aliado,Vasallo,Héroe
161,Lycaón,Aliado,Vasallo,Héroe
